USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  21464 13324 ?        Ss   15:51   0:02 /sbin/init splash noautomount splash
root         380  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-xfs_mru_cache]
root         387  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-md]
root         388  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-md_bitmap]
root         393  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-raid5wq]
root         439  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-worker]
root         440  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-delalloc]
root         441  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-flush_delalloc]
root         442  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-cache]
root         443  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-fixup]
root         444  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-endio]
root         445  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-endio-meta]
root         446  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-rmw]
root         447  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-endio-write]
root         448  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-compressed-write]
root         449  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-freespace-write]
root         450  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-delayed-meta]
root         451  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-btrfs-qgroup-rescan]
root         452  0.0  0.0      0     0 ?        S    15:51   0:06 [btrfs-cleaner]
root         453  0.1  0.0      0     0 ?        S    15:51   0:20 [btrfs-transaction]
root         503  0.0  0.0      0     0 ?        S    15:51   0:00 [psimon]
root         519  0.0  0.1 132392 20820 ?        Ss   15:51   0:01 /lib/systemd/systemd-journald
root         555  0.0  0.0  28948  7816 ?        Ss   15:51   0:00 /lib/systemd/systemd-udevd
root         569  0.0  0.0      0     0 ?        S    15:51   0:00 [psimon]
root         663  0.0  0.0      0     0 ?        S    15:51   0:00 [watchdogd]
root         664  0.0  0.0      0     0 ?        S    15:51   0:00 [ccp-1-q2]
root         665  0.0  0.0      0     0 ?        S    15:51   0:00 [ccp-1-q3]
root         666  0.0  0.0      0     0 ?        S    15:51   0:00 [ccp-1-q4]
root         667  0.0  0.0      0     0 ?        S    15:51   0:00 [hwrng]
root         757  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-cfg80211]
root         782  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-led_workqueue]
root         806  0.0  0.0   8268  6332 ?        Ss   15:51   0:00 /usr/sbin/haveged --Foreground --verbose=1
root         832  0.0  0.0      0     0 ?        S    15:51   0:08 [irq/67-iwlwifi]
root         905  0.0  0.0 237160  7936 ?        Ssl  15:51   0:00 /usr/libexec/accounts-daemon
root         910  0.0  0.0  13188  6676 ?        Ss   15:51   0:00 /usr/libexec/bluetooth/bluetoothd
root         911  0.0  0.0   6620  2848 ?        Ss   15:51   0:00 /usr/sbin/cron -f
message+     912  0.0  0.0   9648  5760 ?        Ss   15:51   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      921  0.0  0.0 310232 10316 ?        Ssl  15:51   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         923  0.0  0.0   4012  1832 ?        Ss   15:51   0:00 /usr/sbin/rngd -f
root         924  0.0  0.0  11412  5936 ?        Ss   15:51   0:00 /usr/sbin/smartd -n
root         926  0.0  0.0  17104  8764 ?        Ss   15:51   0:00 /lib/systemd/systemd-logind
root         929  0.0  0.0 394784 12892 ?        Ssl  15:51   0:00 /usr/libexec/udisks2/udisksd
daemon       945  0.0  0.0   3588  2136 ?        Ss   15:51   0:00 /usr/sbin/atd -f
root         965  0.0  0.0  14360  3160 ?        Ss   15:51   0:00 /usr/bin/vmware-usbarbitrator
root         989  0.0  0.1 259892 21260 ?        Ssl  15:51   0:02 /usr/sbin/NetworkManager --no-daemon
root        1028  0.0  0.0  17500 12236 ?        Ss   15:51   0:00 /sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1050  0.0  0.0 317440 12740 ?        Ssl  15:51   0:00 /usr/sbin/ModemManager
root        1143  0.0  0.0  77448  2168 ?        Ssl  15:51   0:10 /opt/nessus/sbin/nessus-service -q
root        1158  2.7  3.7 1032184 539776 ?      Sl   15:51   6:59 nessusd -q
root        1174  0.0  0.0 308392  7388 ?        SLsl 15:51   0:00 /usr/sbin/lightdm
root        1193  4.2  1.4 1552032 208088 tty7   Ssl+ 15:51  10:54 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1194  0.0  0.0   5884  1904 tty1     Ss+  15:51   0:00 /sbin/agetty -o -p -- \u --noclear - linux
rtkit       1289  0.0  0.0  22760  3308 ?        SNsl 15:51   0:00 /usr/libexec/rtkit-daemon
root        1389  0.0  0.0 235100  8212 ?        Ssl  15:51   0:02 /usr/libexec/upowerd
root        1395  0.0  0.0      0     0 ?        S<   15:51   0:00 [krfcommd]
root        1434  0.0  0.0 162276  8084 ?        Sl   15:51   0:00 lightdm --session-child 13 20
root        1544  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-iprt-VBoxWQueue]
root        1556  0.0  0.0      0     0 ?        S    15:51   0:00 [iprt-VBoxTscThread]
root        1634  0.0  0.0   2976  1420 ?        Ss   15:51   0:00 /usr/bin/vmnet-bridge -s 6 -d /var/run/vmnet-bridge-0.pid -n 0 -iwlp1s0
root        1647  0.0  0.0   2948   936 ?        Ss   15:51   0:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet1.pid /dev/vmnet1 vmnet1
root        1658  0.0  0.0   8948  1108 ?        Ss   15:51   0:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet1/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet1/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet1.pid vmnet1
root        1661  0.0  0.0   3796  2816 ?        S    15:51   0:00 /usr/bin/vmnet-natd -s 6 -m /etc/vmware/vmnet8/nat.mac -c /etc/vmware/vmnet8/nat/nat.conf
root        1663  0.0  0.0   2948   956 ?        Ss   15:51   0:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet8.pid /dev/vmnet8 vmnet8
root        1671  0.0  0.0   8948  1184 ?        Ss   15:51   0:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet8/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet8/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet8.pid vmnet8
root        1736  0.0  0.0   9828  2532 ?        Ss   15:51   0:00 /usr/sbin/vmware-authdlauncher
idiot       1747  0.0  0.0  19668 11312 ?        Ss   15:51   0:00 /lib/systemd/systemd --user
idiot       1748  0.0  0.0  22684  5760 ?        S    15:51   0:00 (sd-pam)
idiot       1769  0.0  0.2 2234112 37032 ?       S<sl 15:51   0:04 /usr/bin/pulseaudio --daemonize=no --log-target=journal
idiot       1771  0.0  0.0 239976 10520 ?        SLsl 15:51   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
idiot       1775  0.0  0.0   8896  5324 ?        Ss   15:51   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
idiot       1779  0.0  0.3 545432 52248 ?        Ssl  15:51   0:01 x-session-manager
idiot       1812  0.0  0.0 156936  6160 ?        Ssl  15:51   0:00 /usr/libexec/dconf-service
idiot       1841  0.0  0.0   7880  1584 ?        Ss   15:51   0:00 /usr/bin/ssh-agent x-session-manager
idiot       1843  0.0  0.0 311268  8504 ?        Ssl  15:51   0:00 /usr/libexec/at-spi-bus-launcher
idiot       1871  0.0  0.0   8320  4692 ?        S    15:51   0:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
idiot       1910  0.0  0.3 1348180 47800 ?       Sl   15:51   0:07 /usr/bin/mate-settings-daemon
idiot       1912  0.0  0.0 164532  8192 ?        Sl   15:51   0:03 /usr/libexec/at-spi2-registryd --use-gnome-session
idiot       1918  0.5  0.4 898588 64156 ?        Sl   15:51   1:21 marco
idiot       1919  0.0  0.0 237528  8024 ?        Ssl  15:51   0:00 /usr/libexec/gvfsd
idiot       1927  0.0  0.0 380384  6916 ?        Sl   15:51   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
idiot       1932  0.0  0.4 649748 68412 ?        Sl   15:51   0:06 mate-panel
idiot       1958  0.0  0.0   6512  2860 ?        S    15:51   0:01 syndaemon -i 0.5 -K -R
idiot       1959  0.0  0.5 831940 72688 ?        Sl   15:51   0:03 /usr/bin/caja
idiot       1960  0.0  0.0 351612 12984 ?        Ssl  15:51   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
idiot       1964  0.0  0.5 641248 74620 ?        Sl   15:51   0:06 /usr/lib/x86_64-linux-gnu/brisk-menu/brisk-menu
idiot       1965  0.1  0.6 591648 86236 ?        Sl   15:51   0:30 /usr/lib/mate-panel/wnck-applet
idiot       1970  0.0  0.3 885212 50964 ?        Sl   15:51   0:02 mate-power-manager
idiot       1973  0.0  0.1 186156 17200 ?        Sl   15:51   0:00 /usr/libexec/polkit-mate-authentication-agent-1
idiot       1977  0.0  0.3 738492 51424 ?        Sl   15:51   0:00 mate-volume-control-status-icon
idiot       1982  0.0  0.0 233564  6756 ?        Ssl  15:51   0:00 /usr/libexec/gvfs-mtp-volume-monitor
idiot       1996  0.0  0.3 562340 46292 ?        Sl   15:51   0:03 mate-screensaver
idiot       2001  0.0  0.4 634792 59476 ?        Sl   15:51   0:01 nm-applet
idiot       2007  0.0  0.4 454488 60244 ?        Sl   15:51   0:03 /usr/bin/python3 /usr/bin/blueman-applet
idiot       2008  0.0  0.0 234516  7108 ?        Ssl  15:51   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
idiot       2009  0.0  0.2  62756 37620 ?        S    15:51   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
root        2018  0.0  0.0 170548  4056 ?        Ssl  15:51   0:00 /usr/sbin/pcscd --foreground --auto-exit
idiot       2021  0.0  0.0 234060  6468 ?        Sl   15:51   0:00 /usr/libexec/geoclue-2.0/demos/agent
idiot       2035  0.0  0.0 233532  6440 ?        Ssl  15:51   0:00 /usr/libexec/gvfs-goa-volume-monitor
idiot       2041  0.0  0.0 464352 13808 ?        Ssl  15:51   0:00 /usr/libexec/xdg-desktop-portal
idiot       2053  0.0  0.0 312440  8312 ?        Ssl  15:51   0:00 /usr/libexec/gvfs-afc-volume-monitor
idiot       2057  0.0  0.0 534136  7564 ?        Ssl  15:51   0:00 /usr/libexec/xdg-document-portal
idiot       2067  0.0  0.0 236764  7184 ?        Ssl  15:51   0:00 /usr/libexec/xdg-permission-store
root        2076  0.0  0.0   2488  1868 ?        Ss   15:51   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
idiot       2083  0.0  0.1 340584 24548 ?        Ssl  15:51   0:00 /usr/libexec/xdg-desktop-portal-gtk
idiot       2123  0.0  0.3 478300 47984 ?        Sl   15:51   0:00 /usr/lib/mate-power-manager/mate-inhibit-applet
idiot       2126  0.6  0.2 342796 30740 ?        Sl   15:51   1:45 /usr/lib/mate-applets/mate-multiload-applet
idiot       2128  0.0  0.4 581624 70016 ?        Sl   15:51   0:02 /usr/lib/mate-panel/clock-applet
